Code_secteur_D;Pop_Sum;missing
"136055";"2716.0";0
"136151";"17606.0";0
"136152";"10552.0";0
"136153";"29103.0";0
"136154";"9222.0";0
"136155";"21433.0";0
"136156";"6121.0";0
"136157";"6831.0";0
"136251";"12286.0";0
"136252";"12675.0";0
"136253";"5332.0";0
"136254";"8439.0";0
"136255";"4500.0";0
"136256";"1024.0";0
"136257";"2542.0";0
"136258";"1214.0";0
"136259";"1478.0";0
"136260";"5466.0";0
"136261";"6926.0";0
"136262";"5344.0";0
"136263";"4613.0";0
"136264";"3331.0";0
"145151";"13360.0";0
"145152";"7739.0";0
"145153";"16188.0";0
"145154";"7696.0";0
"145155";"9366.0";0
"145156";"8596.0";0
"145251";"15619.0";0
"145252";"11366.0";0
"145253";"17406.0";0
"145254";"24692.0";0
"145255";"19252.0";0
"145351";"12393.0";0
"145352";"7283.0";0
"145353";"4189.0";0
"145354";"12487.0";0
"145355";"20920.0";0
"145356";"9555.0";0
"145357";"14213.0";0
"145451";"7609.0";0
"145452";"10157.0";0
"145453";"4041.0";0
"145454";"3539.0";0
"145455";"4243.0";0
"145456";"5234.0";0
"145457";"5686.0";0
"145458";"4255.0";0
"145551";"10559.0";0
"145552";"3279.0";0
"145553";"3188.0";0
"145554";"4439.0";0
"145651";"17677.0";0
"145652";"8661.0";0
"145653";"8412.0";0
"145654";"3652.0";0
"145655";"12595.0";0
"145656";"1716.0";0
"145751";"4422.0";0
"145752";"1321.0";0
"145753";"3783.0";0
"145754";"1114.0";0
"145755";"16807.0";0
"145756";"15734.0";0
"145757";"2893.0";0
"145851";"10596.0";0
"145852";"4337.0";0
"145853";"3280.0";0
"145854";"2805.0";0
"155151";"7517.0";0
"155152";"14468.0";0
"155153";"22366.0";0
"155154";"16128.0";0
"155155";"8105.0";0
"155156";"4192.0";0
"155251";"23931.0";0
"155252";"20383.0";0
"155253";"3749.0";0
"155254";"3111.0";0
"155351";"25567.0";0
"155352";"3182.0";0
"155353";"9224.0";0
"155354";"7896.0";0
"155355";"1652.0";0
"155451";"4561.0";0
"155452";"3143.0";0
"155453";"5044.0";0
"155454";"22791.0";0
"155455";"20996.0";0
"155456";"10294.0";0
"155457";"4158.0";0
"155458";"3076.0";0
"155551";"4589.0";0
"155552";"4511.0";0
"155553";"4014.0";0
"155554";"10332.0";0
"155555";"19693.0";0
"155556";"16194.0";0
"155557";"6012.0";0
"155558";"3601.0";0
"155559";"3158.0";0
"155651";"4639.0";0
"155652";"8817.0";0
"155653";"5589.0";0
"155654";"3710.0";0
"155655";"3243.0";0
"155656";"3181.0";0
"155751";"3300.0";0
"155752";"2311.0";0
"155753";"5293.0";0
"155754";"33343.0";0
"155755";"22672.0";0
"155851";"8289.0";0
"155852";"5202.0";0
"155853";"1627.0";0
"155854";"2160.0";0
"155951";"11937.0";0
"155952";"3739.0";0
"155953";"7955.0";0
"155954";"5182.0";0
"155955";"3896.0";0
"155956";"3173.0";0
"155957";"5155.0";0
"155958";"5043.0";0
"156051";"2978.0";0
"156052";"6417.0";0
"156053";"4722.0";0
"156054";"4197.0";0
"156055";"6491.0";0
"156151";"4116.0";0
"156152";"10718.0";0
"156153";"5812.0";0
"156154";"33758.0";0
"156155";"17816.0";0
"156251";"3548.0";0
"156252";"4915.0";0
"156253";"6458.0";0
"156254";"11385.0";0
"156255";"13533.0";0
"156351";"12800.0";0
"156352";"3749.0";0
"156353";"7185.0";0
"156354";"4833.0";0
"156355";"4626.0";0
"156356";"8742.0";0
"156451";"15426.0";0
"156452";"6411.0";0
"156453";"5306.0";0
"156454";"4260.0";0
"156455";"5436.0";0
"156456";"20265.0";0
"156457";"10731.0";0
"156458";"3979.0";0
"156459";"4041.0";0
"156551";"3275.0";0
"156552";"5762.0";0
"156553";"5309.0";0
"156554";"11250.0";0
"156555";"1788.0";0
"156556";"4823.0";0
"156557";"3036.0";0
"156651";"9455.0";0
"156652";"3357.0";0
"156653";"12740.0";0
"156654";"14987.0";0
"156655";"19212.0";0
